"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável";"Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número índice)"
"Seções e atividades industriais (CNAE 2.0)";"1 Indústria geral"
"Mês";"Brasil e Unidade da Federação"
;"Brasil";"Amazonas";"Pará";"Ceará";"Pernambuco";"Bahia";"Minas Gerais";"Espírito Santo";"Rio de Janeiro";"São Paulo";"Paraná";"Santa Catarina";"Rio Grande do Sul";"Mato Grosso";"Goiás"
"janeiro 2002";72,4;59,1;53,0;89,7;77,9;81,1;73,0;67,1;83,4;68,6;55,2;90,0;85,4;-;48,2
"fevereiro 2002";69,7;57,9;55,1;80,2;66,3;72,4;66,8;61,5;77,3;68,0;56,2;89,4;84,3;-;55,8
"março 2002";77,4;65,5;61,6;88,0;67,0;78,3;75,7;62,9;84,8;74,8;62,2;93,8;98,8;-;62,3
"abril 2002";79,6;73,7;59,3;90,6;67,7;75,0;72,7;66,8;86,9;76,8;65,1;98,3;108,2;-;63,4
"maio 2002";80,4;66,7;58,8;90,4;67,8;72,4;74,8;67,8;88,3;79,6;62,7;96,2;109,8;-;63,8
"junho 2002";77,5;68,2;60,4;86,4;61,4;75,7;73,7;71,6;85,4;75,6;63,4;91,6;99,0;-;64,3
"julho 2002";83,3;67,4;62,9;98,5;68,5;88,2;77,5;74,6;91,7;81,7;66,4;101,0;99,7;-;71,4
"agosto 2002";83,6;69,6;62,0;92,5;70,0;89,1;78,5;75,1;95,9;80,9;67,8;103,2;96,8;-;73,5
"setembro 2002";82,1;74,2;56,6;100,0;76,5;77,5;79,2;72,4;88,0;80,3;67,7;100,2;94,2;-;70,7
"outubro 2002";89,2;82,7;61,6;107,9;92,4;86,1;82,5;76,8;93,3;88,9;70,4;112,3;101,9;-;74,2
"novembro 2002";83,9;82,9;62,1;109,5;92,4;84,6;78,2;80,3;87,3;81,2;65,4;106,7;97,6;-;68,7
"dezembro 2002";74,6;64,4;64,2;98,1;94,2;85,2;71,1;78,9;87,8;70,3;57,9;89,1;82,7;-;59,2
"janeiro 2003";74,0;55,9;61,8;95,0;92,5;82,9;72,7;76,5;84,5;69,4;59,5;88,9;87,9;-;56,2
"fevereiro 2003";71,8;61,9;53,7;88,3;67,8;69,4;71,1;74,3;82,8;68,6;61,4;89,1;87,4;-;63,2
"março 2003";77,4;62,3;65,9;85,6;64,9;80,8;75,3;76,4;86,0;73,8;63,8;90,8;103,8;-;67,6
"abril 2003";76,5;71,0;63,0;91,6;63,9;80,7;72,2;72,6;88,2;71,4;65,4;87,0;107,1;-;66,0
"maio 2003";79,7;65,3;67,5;84,9;60,8;81,5;75,9;80,7;89,0;76,5;66,6;91,3;107,5;-;66,1
"junho 2003";76,3;65,7;64,2;83,1;57,7;77,5;73,8;73,6;86,6;73,6;63,3;89,4;93,6;-;70,0
"julho 2003";81,3;78,6;66,6;90,3;69,0;83,3;77,5;81,2;89,4;77,7;72,7;94,5;93,0;-;67,8
"agosto 2003";81,6;75,4;68,8;93,1;69,4;81,2;79,1;79,2;88,5;80,0;71,7;94,0;90,0;-;75,4
"setembro 2003";85,7;83,7;67,2;98,0;84,0;86,1;80,3;79,3;89,5;83,9;72,1;102,0;95,0;-;75,8
